SG,G,PF,SF,F,UTIL,PG,C,Date,Predicted,Actual
Devin Booker,Donovan Mitchell,Giannis Antetokounmpo,Khris Middleton,Terrence Ross,Brad Wanamaker,Jevon Carter,Patrick Patterson,20200116,238.63656339289824,276.5
Zach LaVine,Luka Doncic,Domantas Sabonis,Tobias Harris,Vince Carter,Kelly Olynyk,Jordan McLaughlin,Bruno Fernando,20200117,238.68183114585423,214.75
James Harden,LeBron James,Giannis Antetokounmpo,Josh Hart,Wilson Chandler,Gary Trent Jr,Langston Galloway,Dragan Bender,20200118,238.77959630101805,301.75
DeMar DeRozan,Jimmy Butler,Domantas Sabonis,Will Barton,LaMarcus Aldridge,Malik Beasley,TJ McConnell,James Johnson,20200119,238.4909319102196,248.0
James Harden,LeBron James,Giannis Antetokounmpo,Jae Crowder,PJ Dozier,Tony Bradley,Langston Galloway,Bruno Fernando,20200120,238.76982018814107,248.5
James Harden,LeBron James,Anthony Davis,Josh Richardson,Thon Maker,Reggie Jackson,Austin Rivers,Bruno Fernando,20200122,238.7775556325933,251.5
Bradley Beal,Luka Doncic,Anthony Davis,Caris LeVert,Carmelo Anthony,Trevor Ariza,Matthew Dellavedova,Caleb Swanigan,20200123,238.56729034759886,265.25
James Harden,Russell Westbrook,Domantas Sabonis,DeMar DeRozan,Keita Bates-Diop,Dion Waiters,Cory Joseph,Khem Birch,20200124,238.7709082734695,285.75
Zach LaVine,LeBron James,Anthony Davis,Tobias Harris,Caris LeVert,Luguentz Dort,Raul Neto,John Henson,20200125,238.65915601987015,276.0
Fred VanVleet,Damian Lillard,Domantas Sabonis,Kawhi Leonard,Rodney McGruder,Bruno Fernando,Jevon Carter,Patrick Patterson,20200126,238.66046229461483,325.5
Zach LaVine,Luka Doncic,Kevin Love,DeMar DeRozan,Khem Birch,Cory Joseph,Yogi Ferrell,John Henson,20200127,238.71801324703654,231.0
Devin Booker,Luka Doncic,Julius Randle,Bradley Beal,Cody Martin,Ty Jerome,Jalen Brunson,Chris Boucher,20200128,238.6965358554093,260.5
James Harden,Damian Lillard,Julius Randle,DeMar DeRozan,Harry Giles,Dennis Smith Jr,Cory Joseph,Chimezie Metu,20200129,238.74750022852274,260.75
Bradley Beal,Trae Young,Pascal Siakam,Ben Simmons,Matisse Thybulle,Cory Joseph,Patrick McCaw,John Henson,20200130,238.67728813293655,294.0
James Harden,Russell Westbrook,Giannis Antetokounmpo,Kris Dunn,Tony Snell,Pat Connaughton,Ty Jerome,Nicolo Melli,20200131,238.7543646070798,295.75
Bradley Beal,LeBron James,Domantas Sabonis,Jimmy Butler,Semi Ojeleye,Brandon Goodwin,Brad Wanamaker,Harry Giles,20200201,238.72412559336658,279.5
James Harden,Russell Westbrook,Giannis Antetokounmpo,OG Anunoby,Chandler Hutchison,Pat Connaughton,Jevon Carter,Cheick Diallo,20200202,238.7677916717817,300.25
Bradley Beal,Trae Young,Domantas Sabonis,Jimmy Butler,Grant Williams,Kelan Martin,Elie Okobo,Cheick Diallo,20200203,238.72890725974634,303.25
James Harden,Damian Lillard,Giannis Antetokounmpo,Kyle Kuzma,Gary Trent Jr,Caleb Swanigan,Quinn Cook,Nicolo Melli,20200204,238.80419941365847,291.5
Jimmy Butler,Trae Young,Domantas Sabonis,Kawhi Leonard,Patrick McCaw,Jordan Poole,Gabe Vincent,Kevon Looney,20200205,238.66257993994174,256.25
James Harden,LeBron James,Giannis Antetokounmpo,Danny Green,Ersan Ilyasova,Jaxson Hayes,Frank Jackson,Robin Lopez,20200206,238.81952442017422,238.5
James Harden,Bradley Beal,Domantas Sabonis,Tobias Harris,Royce ONeale,Thon Maker,Brandon Goodwin,Cheick Diallo,20200207,238.79853080107992,288.0
Devin Booker,LeBron James,Anthony Davis,Paul George,James Johnson,Matt Thomas,Ky Bowman,Boban Marjanovic,20200208,238.0873155122712,290.75
James Harden,Damian Lillard,Julius Randle,Tobias Harris,Reggie Bullock,Wayne Ellington,Amir Coffey,Mfiondu Kabengele,20200209,238.78043910860941,297.25
Devin Booker,LeBron James,Anthony Davis,Khris Middleton,OG Anunoby,Sterling Brown,Emmanuel Mudiay,Tony Bradley,20200210,238.6371081969362,287.75
James Harden,Damian Lillard,Jayson Tatum,Gordon Hayward,Josh Richardson,Ryan Arcidiacono,Frank Jackson,Jaxson Hayes,20200211,238.76185360284737,265.25
Bradley Beal,Luka Doncic,Anthony Davis,Draymond Green,Pat Connaughton,Bismack Biyombo,Jeremy Pargo,Gorgui Dieng,20200212,238.70075047381164,275.0
Jrue Holiday,Chris Paul,Zion Williamson,Kawhi Leonard,Paul George,Montrezl Harrell,Frank Jackson,Nerlens Noel,20200213,238.4436880192856,256.5
James Harden,Trae Young,Giannis Antetokounmpo,Harrison Barnes,Josh Jackson,Juan Toscano-Anderson,Shaquille Harrison,Robin Lopez,20200220,238.78070179000903,327.75
Bradley Beal,Luka Doncic,Anthony Davis,Jayson Tatum,Royce ONeale,Emmanuel Mudiay,Jevon Carter,Gorgui Dieng,20200221,238.70153384293744,323.5
James Harden,Trae Young,Giannis Antetokounmpo,Mikal Bridges,Kelly Olynyk,Dante Exum,Shake Milton,Daniel Gafford,20200222,238.75990111280424,308.25
Bradley Beal,Zach LaVine,Domantas Sabonis,Andrew Wiggins,Paul Millsap,Kelan Martin,Aaron Holiday,Kevon Looney,20200223,238.68355545805315,300.75
James Harden,Trae Young,Giannis Antetokounmpo,Terrence Ross,Kelan Martin,John Konchar,George Hill,Robin Lopez,20200224,238.77155836200708,283.25
CJ McCollum,LeBron James,Giannis Antetokounmpo,Buddy Hield,Abdel Nader,Alex Caruso,Brandon Knight,Goga Bitadze,20200225,238.69242779256464,302.5
James Harden,Trae Young,Jayson Tatum,Caris LeVert,DeMarre Carroll,Matthew Dellavedova,Allonzo Trier,Kyle OQuinn,20200226,238.77897892398622,293.25
CJ McCollum,Chris Paul,Anthony Davis,Tobias Harris,Danilo Gallinari,JaVale McGee,Quinn Cook,Kyle OQuinn,20200227,238.62477565752408,263.0
Bradley Beal,Luka Doncic,Giannis Antetokounmpo,Buddy Hield,ETwaun Moore,Tony Bradley,Brandon Goodwin,DJ Wilson,20200228,238.72151530569576,269.25
James Harden,LeBron James,Anthony Davis,Terrence Ross,Markieff Morris,Elie Okobo,Ty Jerome,Kevon Looney,20200229,238.7594928976761,227.75
Bradley Beal,LeBron James,Pascal Siakam,Brandon Ingram,Danny Green,Mike Scott,Quinn Cook,Donta Hall,20200301,238.7430287784926,258.5
James Harden,Trae Young,Giannis Antetokounmpo,Kevin Huerter,Wayne Ellington,Mario Hezonja,Bryn Forbes,Damian Jones,20200302,238.75169195206502,247.75
Bradley Beal,LeBron James,Anthony Davis,Danilo Gallinari,Troy Brown Jr,Jalen McDaniels,Chris Chiozza,Mike Muscala,20200303,238.7402467846947,270.25
Bradley Beal,Damian Lillard,Giannis Antetokounmpo,Terrence Ross,Semi Ojeleye,Chris Chiozza,Frank Jackson,Tony Bradley,20200304,238.74912523150573,277.5
James Harden,Russell Westbrook,Pascal Siakam,Tobias Harris,JaMychal Green,Jeff Green,Amir Coffey,Bruno Caboclo,20200305,238.74963422960246,229.5
Bradley Beal,Luka Doncic,Giannis Antetokounmpo,Joe Harris,Kevin Knox,Aron Baynes,DJ Augustin,Tony Bradley,20200306,238.74755090623728,311.0
CJ McCollum,Trae Young,John Collins,Tobias Harris,Kevin Huerter,Matthew Dellavedova,Raul Neto,Tony Bradley,20200307,238.602694278834,250.0
James Harden,LeBron James,Anthony Davis,Terrence Ross,Luguentz Dort,Jevon Carter,Cory Joseph,Drew Eubanks,20200308,238.7818684626956,259.25
Donovan Mitchell,Kyle Lowry,Pascal Siakam,Norman Powell,OG Anunoby,Devonte Graham,Frank Mason III,Robin Lopez,20200309,238.47754425390673,249.25
James Harden,Luka Doncic,Anthony Davis,Terrence Ross,Marco Belinelli,Rodney McGruder,Amir Coffey,Patrick Patterson,20200310,238.78193374996835,248.75
Tim Hardaway Jr,Luka Doncic,Tobias Harris,Will Barton,Christian Wood,Monte Morris,Joe Chealey,Boban Marjanovic,20200311,238.466398466345,270.0
Jrue Holiday,LeBron James,Anthony Davis,Brandon Ingram,Georges Niang,Dion Waiters,Frank Jackson,Patrick Patterson,20200730,238.66815393610656,206.0
James Harden,Russell Westbrook,Giannis Antetokounmpo,Gordon Hayward,Rodions Kurucs,Khem Birch,Jeremiah Martin,Donta Hall,20200731,238.76208313323292,330.75
Jrue Holiday,LeBron James,Anthony Davis,Paul George,JaMychal Green,Dion Waiters,Frank Jackson,Kelly Olynyk,20200801,238.64987501577963,237.25
James Harden,Luka Doncic,Giannis Antetokounmpo,Bogdan Bogdanovic,Rodions Kurucs,Cameron Payne,Jerian Grant,Gary Clark,20200802,238.77341472250424,281.25
Jrue Holiday,LeBron James,Anthony Davis,Tobias Harris,Dion Waiters,Raul Neto,Emmanuel Mudiay,Bol Bol,20200803,238.6762491139021,227.5
James Harden,Luka Doncic,Giannis Antetokounmpo,Duncan Robinson,Andre Iguodala,Justin Anderson,Frank Mason III,DJ Wilson,20200804,238.7827011129661,269.75
Caris LeVert,LeBron James,Anthony Davis,Ben Simmons,Dion Waiters,Robert Williams,Brad Wanamaker,Gary Clark,20200805,238.63638196552006,227.25
James Harden,Luka Doncic,Giannis Antetokounmpo,Duncan Robinson,Bol Bol,Austin Rivers,Quinn Cook,Markieff Morris,20200806,238.76079097893182,261.25
Jrue Holiday,Kyle Lowry,Brandon Ingram,Tobias Harris,Rui Hachimura,Furkan Korkmaz,Terence Davis,Alex Len,20200807,238.6322943208661,230.0
Devin Booker,LeBron James,Giannis Antetokounmpo,TJ Warren,Landry Shamet,Goga Bitadze,Gabe Vincent,Frank Kaminsky,20200808,238.6596594359213,266.0
James Harden,Damian Lillard,Jusuf Nurkic,Robert Covington,Zach Collins,DaQuan Jeffries,Terance Mann,Mike Muscala,20200809,238.75211450623863,275.5
Devin Booker,LeBron James,Anthony Davis,TJ Warren,Dion Waiters,Boban Marjanovic,Justin Wright-Foreman,Bol Bol,20200810,238.66412246587555,264.0
Devin Booker,Luka Doncic,Giannis Antetokounmpo,Jayson Tatum,Jabari Parker,Kyle OQuinn,Frank Mason III,Jahlil Okafor,20200811,238.68324698693354,310.75
James Harden,Kyle Lowry,Tobias Harris,Kawhi Leonard,Mike Scott,Patrick Patterson,Raul Neto,Chris Silva,20200812,238.75049364149655,285.0
Devin Booker,Luka Doncic,Jusuf Nurkic,Troy Brown Jr,Wes Iwundu,Jarrell Brantley,Yogi Ferrell,Johnathan Williams,20200813,238.70841290920015,260.25
James Harden,Shai Gilgeous-Alexander,Tobias Harris,Robert Covington,Danilo Gallinari,Bruno Caboclo,Chris Clemons,TJ Leaf,20200814,238.6992887627811,184.0
Donovan Mitchell,Luka Doncic,Jayson Tatum,Kawhi Leonard,Chris Boucher,Juwan Morgan,Emmanuel Mudiay,Robert Williams,20200817,238.6384131659592,294.0
James Harden,Damian Lillard,Giannis Antetokounmpo,Dion Waiters,Danny Green,Gary Clark,Michael Frazier,Khem Birch,20200818,238.79152660282747,224.5
Donovan Mitchell,Luka Doncic,Jayson Tatum,Paul George,Juwan Morgan,Grant Williams,Raul Neto,JaMychal Green,20200819,238.69515229902817,230.75
James Harden,Damian Lillard,Giannis Antetokounmpo,Justin Holiday,Wes Iwundu,JaKarr Sampson,Anfernee Simons,Robin Lopez,20200820,238.79378721061428,213.25
Donovan Mitchell,Luka Doncic,Jayson Tatum,Paul George,Georges Niang,Justin Anderson,Jeremiah Martin,Bol Bol,20200821,238.70016661938158,205.0
James Harden,Damian Lillard,Giannis Antetokounmpo,Justin Holiday,Kyle Korver,Vic Law,Anfernee Simons,Ersan Ilyasova,20200822,238.77402904784066,227.5
Donovan Mitchell,Caris LeVert,Jayson Tatum,Kawhi Leonard,OG Anunoby,Stanley Johnson,Jeremiah Martin,Lance Thomas,20200823,238.67658166256547,301.25
James Harden,Damian Lillard,Giannis Antetokounmpo,Justin Holiday,Jared Dudley,Quinn Cook,Jaylen Adams,Ersan Ilyasova,20200824,238.77691102806898,190.5
Donovan Mitchell,Luka Doncic,Marcus Morris,Kawhi Leonard,Royce ONeale,Delon Wright,Terance Mann,Tony Bradley,20200825,238.66061105883563,212.5
James Harden,LeBron James,Giannis Antetokounmpo,Luguentz Dort,Markieff Morris,Abdel Nader,Michael Frazier,Ersan Ilyasova,20200829,238.78178320145625,221.5
Donovan Mitchell,Luka Doncic,Jayson Tatum,Jaylen Brown,Georges Niang,Semi Ojeleye,Terance Mann,Robert Williams,20200830,238.69198427667126,243.5
Jamal Murray,Kemba Walker,Jayson Tatum,Kawhi Leonard,Paul Millsap,Mason Plumlee,PJ Dozier,Bol Bol,20200903,238.66651135216776,222.75
James Harden,LeBron James,Giannis Antetokounmpo,Danny Green,Ben McLemore,Kyle Korver,Gabe Vincent,Meyers Leonard,20200904,238.77583030907763,175.0
James Harden,LeBron James,Giannis Antetokounmpo,Danny Green,Ben McLemore,Dion Waiters,Austin Rivers,Markieff Morris,20200906,238.7206924437755,181.5
Jamal Murray,Paul George,Jayson Tatum,Kawhi Leonard,Norman Powell,Terence Davis,Tremont Waters,Chris Boucher,20200907,238.65798425328794,219.0
Jamal Murray,Paul George,Pascal Siakam,Kawhi Leonard,Jerami Grant,Torrey Craig,PJ Dozier,Mason Plumlee,20200909,237.9963190003055,180.25
Jamal Murray,Kyle Lowry,Jayson Tatum,Kawhi Leonard,JaMychal Green,Brad Wanamaker,Terance Mann,Mason Plumlee,20200911,238.62614232490768,219.0
Jamal Murray,Paul George,Jae Crowder,Kawhi Leonard,Marcus Morris,Tyler Herro,PJ Dozier,Mason Plumlee,20200915,238.5470504205863,206.5
Jimmy Butler,Jaylen Brown,Jayson Tatum,Duncan Robinson,Jae Crowder,Marcus Smart,Kendrick Nunn,Kelly Olynyk,20200917,236.6285018856275,197.75
