PG,SG,SF,PF,C,G,F,UTIL,Date,Score,Genetic
Tomas Satoransky,Zach LaVine,Hamidou Diallo,Darius Bazley,Jarrett Allen,Shabazz Napier,Ben Simmons,Kyrie Irving,20200125,393.25,367.5
Austin Rivers,Michael Carter-Williams,Jeremy Lamb,Deandre Ayton,Bruno Fernando,Trae Young,Domantas Sabonis,Damian Lillard,20200126,411.0,383.0
Donovan Mitchell,Patty Mills,Buddy Hield,Nemanja Bjelica,Bam Adebayo,Delon Wright,Eric Gordon,Jakob Poeltl,20200127,400.75,390.25
Draymond Green,Jrue Holiday,Mikal Bridges,Thomas Bryant,Jonas Valanciunas,Bradley Beal,Khris Middleton,Eric Bledsoe,20200128,423.75,405.75
Elfrid Payton,Bogdan Bogdanovic,Chandler Hutchison,Christian Wood,Mitchell Robinson,Russell Westbrook,Taurean Prince,Damian Lillard,20200129,362.75,344.75
Cory Joseph,Jordan Clarkson,Miles Bridges,Gordon Hayward,Dewayne Dedmon,DeAaron Fox,Bradley Beal,Trae Young,20200130,408.75,404.0
Malik Beasley,Pat Connaughton,Kyle Kuzma,Kristaps Porzingis,Luke Kornet,Kyrie Irving,Anthony Davis,Damian Lillard,20200131,411.0,393.75
Jalen Brunson,Jaylen Brown,Dorian Finney-Smith,Meyers Leonard,Cody Zeller,Damian Lillard,Draymond Green,Hassan Whiteside,20200201,403.5,384.0
Jevon Carter,Terence Davis,Ben McLemore,Brandon Ingram,Brook Lopez,Lonzo Ball,Giannis Antetokounmpo,James Harden,20200202,380.0,360.75
Brad Wanamaker,Jimmy Butler,Caris LeVert,Aaron Gordon,LaMarcus Aldridge,Elfrid Payton,Kristaps Porzingis,Jonas Valanciunas,20200203,410.5,383.25
Bryn Forbes,Ben McLemore,Kyle Kuzma,Miles Bridges,PJ Tucker,James Harden,Brandon Ingram,Nikola Jokic,20200204,373.0,369.25
Reggie Jackson,Landry Shamet,Jordan Poole,Jayson Tatum,Andre Drummond,Kyle Lowry,Justin Holiday,Nikola Jokic,20200205,427.75,391.25
Ryan Arcidiacono,Coby White,Gary Trent Jr,Trey Lyles,Hassan Whiteside,Elfrid Payton,Anthony Davis,Giannis Antetokounmpo,20200206,379.5,350.25
Devin Booker,Furkan Korkmaz,Jayson Tatum,Bojan Bogdanovic,Christian Wood,Damian Lillard,Kevin Huerter,Thon Maker,20200207,391.25,386.0
Jordan McLaughlin,Malik Beasley,Buddy Hield,Marquese Chriss,Deandre Ayton,Dejounte Murray,Anthony Davis,Jrue Holiday,20200208,420.25,379.5
Ja Morant,Gary Trent Jr,Trevor Ariza,Jae Crowder,Joel Embiid,Furkan Korkmaz,Julius Randle,James Harden,20200209,432.0,418.75
Jordan Clarkson,Jimmy Butler,OG Anunoby,Pascal Siakam,Kelly Olynyk,Eric Bledsoe,Khris Middleton,Kyle Lowry,20200210,418.75,398.0
Coby White,Zach LaVine,Robert Covington,Rui Hachimura,LaMarcus Aldridge,Chris Paul,Ben Simmons,Dejounte Murray,20200211,383.5,376.0
Malik Monk,Anfernee Simons,TJ Warren,Kristaps Porzingis,Tristan Thompson,DAngelo Russell,LeBron James,Malik Beasley,20200212,405.0,363.75
Lonzo Ball,Jrue Holiday,Danilo Gallinari,Marcus Morris,Montrezl Harrell,Chris Paul,Kawhi Leonard,JJ Redick,20200213,330.0,331.75
Tyus Jones,DeAnthony Melton,Juan Toscano-Anderson,Cody Zeller,Bam Adebayo,Trae Young,Giannis Antetokounmpo,Thaddeus Young,20200220,393.25,378.25
Emmanuel Mudiay,CJ McCollum,TJ Warren,Pascal Siakam,Daniel Theis,Dejounte Murray,Anthony Davis,Steven Adams,20200221,413.5,379.5
Garrett Temple,Kendrick Nunn,Cedi Osman,Kelly Olynyk,Deandre Ayton,James Harden,John Collins,Ricky Rubio,20200222,389.5,374.0
Ky Bowman,Coby White,Juan Toscano-Anderson,Paul Millsap,Hassan Whiteside,Jrue Holiday,Christian Wood,CJ McCollum,20200223,395.75,402.0
Dennis Smith Jr,Donovan Mitchell,Khris Middleton,JaMychal Green,Gorgui Dieng,Ricky Rubio,Aaron Gordon,Joel Embiid,20200224,419.75,402.0
Alex Caruso,Coby White,Danny Green,Jerami Grant,Domantas Sabonis,Zach LaVine,Brandon Ingram,CJ McCollum,20200225,369.0,355.75
Austin Rivers,Evan Fournier,DeMar DeRozan,Aaron Gordon,Bismack Biyombo,Russell Westbrook,Caris LeVert,Mitchell Robinson,20200226,393.5,366.5
Shake Milton,CJ McCollum,Gary Trent Jr,Al Horford,Julius Randle,Elfrid Payton,Tobias Harris,Dwight Howard,20200227,342.5,338.75
Derrick Rose,Cam Reddish,OG Anunoby,DeAndre Hunter,Jonas Valanciunas,Terrence Ross,Aaron Gordon,Bradley Beal,20200228,395.5,355.0
Ja Morant,Spencer Dinwiddie,Rudy Gay,Trey Lyles,Jonas Valanciunas,Russell Westbrook,Kevin Huerter,Andre Drummond,20200229,411.0,385.0
Shake Milton,Seth Curry,Dorian Finney-Smith,Davis Bertans,Alex Len,LeBron James,OG Anunoby,Kristaps Porzingis,20200301,411.0,399.0
Tyus Jones,RJ Barrett,Josh Jackson,Bojan Bogdanovic,Nikola Vucevic,Collin Sexton,Robert Covington,CJ McCollum,20200302,376.5,371.0
Dejounte Murray,Norman Powell,Cameron Johnson,Chris Boucher,Naz Reid,Caris LeVert,Pascal Siakam,Anthony Davis,20200303,401.5,392.5
Tyus Jones,Collin Sexton,Jayson Tatum,Semi Ojeleye,Naz Reid,Goran Dragic,Kevin Love,Lonzo Ball,20200304,384.75,352.5
Devonte Graham,Damion Lee,Norman Powell,Mike Scott,Ivica Zubac,Russell Westbrook,Tobias Harris,Marquese Chriss,20200305,343.75,329.25
Ja Morant,Matthew Dellavedova,Glenn Robinson III,John Collins,Al Horford,Will Barton,Bogdan Bogdanovic,Jonas Valanciunas,20200307,360.75,362.75
Avery Bradley,Jrue Holiday,Tim Hardaway Jr,Domantas Sabonis,Myles Turner,Shabazz Napier,Norman Powell,Ricky Rubio,20200308,416.75,402.25
Devonte Graham,Terry Rozier,Kyle Korver,Jerami Grant,Paul Millsap,Caleb Martin,Pascal Siakam,Serge Ibaka,20200309,372.0,380.0
Frank Ntilikina,Derrick White,Dario Saric,Bobby Portis,Domantas Sabonis,Victor Oladipo,Gordon Hayward,Luka Doncic,20200310,391.75,357.5
Jordan Clarkson,Dion Waiters,JJ Redick,Brandon Ingram,Anthony Davis,Donovan Mitchell,Kyle Kuzma,Paul George,20200730,292.75,299.75
Brad Wanamaker,Derrick White,Bogdan Bogdanovic,Khem Birch,Brandon Clarke,DeAaron Fox,Giannis Antetokounmpo,James Harden,20200731,388.5,368.25
Fred VanVleet,Jimmy Butler,OG Anunoby,Kelly Olynyk,Joel Embiid,Kyle Lowry,TJ Warren,Aaron Holiday,20200801,408.0,405.25
Michael Carter-Williams,Troy Brown Jr,Cameron Johnson,Harry Giles,Thomas Bryant,Damian Lillard,Jayson Tatum,Giannis Antetokounmpo,20200802,412.0,388.75
Mike Conley,Grayson Allen,JJ Redick,Royce ONeale,Nikola Jokic,Malcolm Brogdon,TJ Warren,Anthony Davis,20200803,374.5,356.75
Devin Booker,Andre Iguodala,Dorian Finney-Smith,Kelly Olynyk,Jeff Green,Luka Doncic,Jusuf Nurkic,Bam Adebayo,20200804,376.75,355.75
