PF,SF,F,UTIL,SG,G,C,PG,Date,Predicted,Actual
Alfonzo McKinnie,LeBron James,Kevin Knox,Ed Davis,Bradley Beal,Trae Young,Kevon Looney,Caris LeVert,20200201,225.89412637210404,175.0
Stanley Johnson,Oshae Brissett,Giannis Antetokounmpo,Deandre Ayton,James Harden,Pat Connaughton,Robin Lopez,Tyler Johnson,20200202,212.68565404435404,238.25
Sekou Doumbouya,Kawhi Leonard,Wes Iwundu,Karl-Anthony Towns,Bradley Beal,Jalen Lecque,Tariq Owens,Garrett Temple,20200203,225.7145747532099,206.75
Wenyen Gabriel,Vlatko Cancar,Giannis Antetokounmpo,Hassan Whiteside,James Harden,Troy Daniels,Nicolo Melli,Anfernee Simons,20200204,225.85738949806398,210.75
Amile Jefferson,Kawhi Leonard,Khem Birch,Karl-Anthony Towns,Chris Chiozza,Trae Young,Vincent Poirier,Jordan Clarkson,20200205,225.17680478983087,194.25
Mario Hezonja,DeMar DeRozan,Giannis Antetokounmpo,Khem Birch,James Harden,Adam Mokoka,Jaxson Hayes,Ryan Arcidiacono,20200206,223.25094766586506,233.0
Juwan Morgan,Bradley Beal,Domantas Sabonis,Marial Shayok,James Harden,Yogi Ferrell,Caleb Swanigan,Terence Davis,20200207,226.29348790879453,207.25
Drew Eubanks,LeBron James,Anthony Davis,Karl-Anthony Towns,ETwaun Moore,Quinndary Weatherspoon,Mfiondu Kabengele,Elie Okobo,20200208,226.0859500103338,194.0
Isaac Bonga,Wayne Ellington,Matisse Thybulle,Russell Westbrook,James Harden,Damian Lillard,Mfiondu Kabengele,Amir Coffey,20200209,225.19666673330167,251.75
Keita Bates-Diop,LeBron James,Anthony Davis,Karl-Anthony Towns,Troy Daniels,Brandon Knight,Alen Smailagic,PJ Dozier,20200210,226.17057745576636,169.0
Jaylen Hoard,William Howard,Amir Coffey,Russell Westbrook,James Harden,Damian Lillard,Mike Muscala,Shake Milton,20200211,225.2071429392455,173.5
Wenyen Gabriel,Luka Doncic,LeBron James,Dante Exum,Jerome Robinson,Trae Young,Gorgui Dieng,Alex Caruso,20200212,226.36770785591,263.25
Christian Wood,Marko Guduric,Giannis Antetokounmpo,Alen Smailagic,James Harden,Kyle Anderson,Daniel Gafford,Jordan Bone,20200220,218.02725244922107,229.5
Georges Niang,LeBron James,Anthony Davis,Aron Baynes,Romeo Langford,Luka Doncic,Jaxson Hayes,DJ Augustin,20200221,226.31906321508325,221.5
Giannis Antetokounmpo,Georges Niang,Solomon Hill,Norvel Pelle,James Harden,Russell Westbrook,DJ Wilson,Austin Rivers,20200222,226.2899839307542,212.25
Domantas Sabonis,Abdel Nader,Wenyen Gabriel,Nikola Jokic,Bradley Beal,Will Barton,Jaxson Hayes,Brandon Knight,20200223,226.19515349697858,229.0
Giannis Antetokounmpo,Rayjon Tucker,Juwan Morgan,Joel Embiid,James Harden,Allonzo Trier,Taj Gibson,Elie Okobo,20200224,226.37325056132883,208.5
