PG,SG,SF,PF,C,G,F,UTIL,Date,Salary,FPTS
Damian Lillard,Joe Harris,Cameron Johnson,Giannis Antetokounmpo,Thomas Bryant,Michael Carter-Williams,Bogdan Bogdanovic,Troy Brown Jr,20200802,48900,388.75
Donovan Mitchell,Grayson Allen,JJ Redick,Anthony Davis,Nikola Jokic,Monte Morris,Brandon Clarke,TJ Warren,20200803,49600,356.75
Chris Chiozza,Andre Iguodala,TJ Warren,Dorian Finney-Smith,Kelly Olynyk,Goran Dragic,Luka Doncic,Jusuf Nurkic,20200804,48500,355.75
Mike Conley,Shai Gilgeous-Alexander,Keldon Johnson,Rudy Gay,Rudy Gobert,Derrick White,Jerome Robinson,Ja Morant,20200805,48100,328.5
James Harden,Gary Trent Jr,Kyle Kuzma,Cameron Johnson,Ivica Zubac,Damian Lillard,Khris Middleton,Cameron Payne,20200806,50000,399.0
Jrue Holiday,Bogdan Bogdanovic,Tobias Harris,Rodions Kurucs,Jarrett Allen,Caris LeVert,Luguentz Dort,Troy Brown Jr,20200807,49000,321.5
Donovan Mitchell,Tyler Herro,Duncan Robinson,Carmelo Anthony,Brook Lopez,CJ McCollum,Giannis Antetokounmpo,Jevon Carter,20200808,50000,376.0
Austin Rivers,Caris LeVert,Josh Richardson,Darius Bazley,Serge Ibaka,Damian Lillard,Kawhi Leonard,Jerome Robinson,20200809,48400,408.25
Devin Booker,Tim Hardaway Jr,LeBron James,Darius Bazley,Chris Boucher,Jimmy Butler,Norman Powell,Cameron Payne,20200810,46400,371.25
Damian Lillard,Devin Booker,Harrison Barnes,Carmelo Anthony,Kyle OQuinn,Frank Mason III,Robert Covington,Ja Morant,20200811,49900,403.0
James Harden,Furkan Korkmaz,Paul George,Darius Bazley,Nikola Jokic,Tyler Herro,Edmond Sumner,Jerami Grant,20200812,49900,376.0
Frank Jackson,Caris LeVert,Bogdan Bogdanovic,Vic Law,Jonas Valanciunas,Damian Lillard,Nemanja Bjelica,Josh Hart,20200813,50000,430.5
PJ Dozier,Paul Watson,Hamidou Diallo,Alize Johnson,Jeff Green,James Harden,Stanley Johnson,Solomon Hill,20200814,38800,322.75
Fred VanVleet,Jordan Clarkson,Kawhi Leonard,Jayson Tatum,Ivica Zubac,Donovan Mitchell,Marcus Morris,Joe Harris,20200817,49900,383.5
DJ Augustin,Eric Gordon,Danilo Gallinari,Giannis Antetokounmpo,Steven Adams,Goran Dragic,Jimmy Butler,Nikola Vucevic,20200818,49700,359.25
Fred VanVleet,Joe Harris,Kawhi Leonard,Jayson Tatum,Boban Marjanovic,Norman Powell,Garrett Temple,Jordan Clarkson,20200819,48400,325.75
Shai Gilgeous-Alexander,Eric Gordon,Pat Connaughton,Giannis Antetokounmpo,JaVale McGee,Victor Oladipo,Duncan Robinson,Nikola Vucevic,20200820,49100,316.25
Kemba Walker,Tyler Johnson,Kawhi Leonard,Marcus Morris,Kristaps Porzingis,Seth Curry,Tobias Harris,Shake Milton,20200821,49800,336.0
CJ McCollum,Jimmy Butler,LeBron James,Jae Crowder,Jeff Green,DJ Augustin,Gary Clark,Malcolm Brogdon,20200822,49300,370.75
Kemba Walker,Donovan Mitchell,Norman Powell,Jayson Tatum,Marc Gasol,Jamal Murray,Rodions Kurucs,Serge Ibaka,20200823,50000,396.75
James Harden,Evan Fournier,Victor Oladipo,Mario Hezonja,Myles Turner,Markelle Fultz,Khris Middleton,Dwight Howard,20200824,49600,337.75
Reggie Jackson,Joe Ingles,Kawhi Leonard,Dorian Finney-Smith,Montrezl Harrell,Jamal Murray,Royce ONeale,Nikola Jokic,20200825,49600,306.5
Anfernee Simons,Gary Trent Jr,Kentavious Caldwell-Pope,Jusuf Nurkic,Darius Bazley,CJ McCollum,Robert Covington,LeBron James,20200829,49000,338.5
Donovan Mitchell,Torrey Craig,OG Anunoby,Georges Niang,Ivica Zubac,Jamal Murray,Kawhi Leonard,Daniel Theis,20200830,48800,338.75
Chris Paul,Kyle Korver,Jimmy Butler,Robert Covington,Bam Adebayo,Goran Dragic,Danilo Gallinari,PJ Tucker,20200831,49900,323.5
Kyle Lowry,Joe Ingles,Jayson Tatum,Daniel Theis,Nikola Jokic,Torrey Craig,OG Anunoby,Monte Morris,20200901,49500,280.75
Chris Paul,Eric Gordon,Khris Middleton,Robert Covington,Brook Lopez,Goran Dragic,Luguentz Dort,Jae Crowder,20200902,49000,325.5
Kyle Lowry,Jaylen Brown,Paul George,OG Anunoby,Montrezl Harrell,Kemba Walker,Marcus Morris,Paul Millsap,20200903,50000,309.75
Alex Caruso,Austin Rivers,Eric Gordon,Anthony Davis,Jeff Green,Jimmy Butler,Jae Crowder,Bam Adebayo,20200904,49300,280.25
Fred VanVleet,Gary Harris,Paul George,Jerami Grant,Nikola Jokic,Monte Morris,JaMychal Green,Kyle Lowry,20200905,49500,283.25
Eric Bledsoe,Donte DiVincenzo,Khris Middleton,Anthony Davis,PJ Tucker,LeBron James,Markieff Morris,Rajon Rondo,20200906,49600,346.25
Kemba Walker,Paul George,Jaylen Brown,Daniel Theis,Nikola Jokic,Norman Powell,Chris Boucher,Brad Wanamaker,20200907,49300,278.5
Eric Bledsoe,Tyler Herro,Andre Iguodala,Kelly Olynyk,Brook Lopez,Rajon Rondo,LeBron James,Anthony Davis,20200908,49900,310.25
Landry Shamet,Fred VanVleet,OG Anunoby,Marcus Morris,Ivica Zubac,Kyle Lowry,Norman Powell,Kawhi Leonard,20200909,48500,307.75
Monte Morris,Paul George,Kawhi Leonard,Marcus Morris,Marc Gasol,Patrick Beverley,Paul Millsap,Jayson Tatum,20200911,49300,283.5
Patrick Beverley,Jamal Murray,Torrey Craig,Jae Crowder,Bam Adebayo,Tyler Herro,JaMychal Green,Nikola Jokic,20200915,49100,320.25
Goran Dragic,Jaylen Brown,Duncan Robinson,Daniel Theis,Bam Adebayo,Brad Wanamaker,Jae Crowder,Kemba Walker,20200917,49900,249.5
