PG,SG,SF,PF,C,G,F,UTIL,Date,Score,Genetic
Damian Lillard,Gabe Vincent,Kyle Kuzma,Jae Crowder,Frank Kaminsky,Victor Oladipo,LeBron James,Mason Plumlee,20210128,331.5,331.5
Theo Maledon,Tyrese Haliburton,Harrison Barnes,DeMar DeRozan,Hassan Whiteside,Lonzo Ball,Giannis Antetokounmpo,Joel Embiid,20210129,372.75,348.25
LaMelo Ball,Nickeil Alexander-Walker,Jimmy Butler,Thaddeus Young,Cody Zeller,Chris Paul,Giannis Antetokounmpo,Willie Cauley-Stein,20210130,389.75,366.75
Immanuel Quickley,Will Barton,Joe Harris,Jeff Green,Moritz Wagner,Russell Westbrook,Pascal Siakam,Nikola Jokic,20210131,393.75,372.75
Chris Paul,Malik Monk,Nassir Little,Keldon Johnson,Cody Zeller,DeAaron Fox,Julius Randle,Jarrett Allen,20210201,422.25,419.0
Kyle Lowry,Josh Jackson,Royce ONeale,Carmelo Anthony,Mason Plumlee,Fred VanVleet,Domantas Sabonis,Myles Turner,20210202,394.0,374.5
Luka Doncic,Denzel Valentine,Darius Bazley,Bobby Portis,Jakob Poeltl,Kevin Huerter,John Collins,Domantas Sabonis,20210203,381.0,379.25
Stephen Curry,CJ Elleby,Talen Horton-Tucker,Juan Toscano-Anderson,Joel Embiid,LeBron James,Carmelo Anthony,Draymond Green,20210204,331.5,326.25
Kendrick Nunn,Justin Holiday,Patrick Williams,Bojan Bogdanovic,Al Horford,LaMelo Ball,Pascal Siakam,Nikola Vucevic,20210205,428.25,415.25
Tomas Satoransky,Shai Gilgeous-Alexander,Jake Layman,Draymond Green,Chris Boucher,Stephen Curry,Josh Jackson,Nikola Jokic,20210206,427.0,377.25
Terry Rozier,Devin Booker,Reggie Bullock,Frank Kaminsky,Ivica Zubac,Donovan Mitchell,Julius Randle,Rudy Gobert,20210207,339.0,331.5
Jaylen Nowell,Malik Beasley,ETwaun Moore,Darius Bazley,Jonas Valanciunas,Dejounte Murray,Khris Middleton,Kristaps Porzingis,20210208,413.5,387.75
DeAaron Fox,Seth Curry,Sterling Brown,Jerami Grant,Mason Plumlee,Donovan Mitchell,Jimmy Butler,Josh Hart,20210209,387.75,378.25
Kira Lewis Jr,Terry Rozier,Kenrich Williams,Giannis Antetokounmpo,DeAndre Jordan,Zach LaVine,Kevin Huerter,Al Horford,20210210,383.5,368.0
Ben Simmons,Dwayne Bacon,Max Strus,Semi Ojeleye,Isaiah Stewart,Stephen Curry,Jimmy Butler,Domantas Sabonis,20210211,362.25,349.5
Michael Carter-Williams,Dylan Windler,Saddiq Bey,Nemanja Bjelica,Nikola Vucevic,Terry Rozier,Jayson Tatum,Luka Doncic,20210212,417.25,379.25
TJ McConnell,Eric Gordon,Royce ONeale,Doug McDermott,Myles Turner,James Harden,Kevin Huerter,Clint Capela,20210213,332.5,326.0
Patrick Beverley,Terry Rozier,Justin Jackson,Saddiq Bey,Mason Plumlee,Derrick White,Giannis Antetokounmpo,Dejounte Murray,20210214,385.75,361.25
Jordan Clarkson,David Nwaba,Cedi Osman,Tobias Harris,Julius Randle,Ben Simmons,Jimmy Butler,Hassan Whiteside,20210215,450.25,444.0
Ja Morant,Facundo Campazzo,Pat Connaughton,Giannis Antetokounmpo,Robert Williams,Anthony Edwards,Josh Hart,James Harden,20210216,384.5,365.5
Jamal Murray,JJ Redick,Davis Bertans,Isaiah Roby,Domantas Sabonis,Damian Lillard,Terrence Ross,Seth Curry,20210217,417.25,405.25
Tyler Herro,Duncan Robinson,Jimmy Butler,Nemanja Bjelica,Pascal Siakam,Norman Powell,Kelly Olynyk,Bam Adebayo,20210218,339.25,326.0
Dennis Smith Jr,Evan Fournier,Norman Powell,Chuma Okeke,Nikola Vucevic,Lonzo Ball,Daniel Theis,Joel Embiid,20210219,404.75,366.0
