Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20191215,Aaron Gordon,Orl,33.12,3,13,0.231,1,5,0.2,2,4,0.5,1,3,4,2,1,0,2,3,9,11
20191217,Aaron Gordon,Orl,29.59,3,9,0.333,0,2,0.0,0,0,0.0,0,5,5,2,0,0,1,2,6,-12
20191218,Aaron Gordon,Orl,33.28,4,14,0.286,1,5,0.2,0,1,0.0,1,6,7,3,1,1,2,1,9,-11
20191220,Aaron Gordon,Orl,29.48,4,17,0.235,0,2,0.0,3,4,0.75,6,5,11,4,0,1,0,2,11,-9
20191223,Aaron Gordon,Orl,31.22,6,14,0.429,1,3,0.333,3,6,0.5,2,9,11,4,1,3,2,1,16,-3
20191227,Aaron Gordon,Orl,34.08,7,16,0.438,1,4,0.25,4,4,1.0,2,9,11,3,0,1,4,4,19,-2
20191228,Aaron Gordon,Orl,21.24,2,9,0.222,1,4,0.25,0,0,0.0,0,2,2,0,0,2,1,0,5,-6
20200103,Aaron Gordon,Orl,31.12,7,14,0.5,1,6,0.167,1,2,0.5,0,8,8,3,0,0,1,4,16,9
20200104,Aaron Gordon,Orl,33.44,4,11,0.364,1,4,0.25,2,2,1.0,1,11,12,2,2,0,3,1,11,-5
20200106,Aaron Gordon,Orl,33.07,5,10,0.5,0,4,0.0,1,3,0.333,3,11,14,1,2,0,6,1,11,10
20200108,Aaron Gordon,Orl,24.51,4,9,0.444,0,2,0.0,2,2,1.0,1,6,7,2,1,0,0,1,10,20
20200113,Aaron Gordon,Orl,29.53,8,16,0.5,1,3,0.333,2,4,0.5,3,6,9,2,0,1,0,0,19,0
20200115,Aaron Gordon,Orl,37.39,7,12,0.583,1,3,0.333,6,8,0.75,1,5,6,3,2,0,4,4,21,10
20200116,Aaron Gordon,Orl,28.46,8,11,0.727,4,5,0.8,0,0,0.0,0,0,0,5,0,0,0,2,20,-17
20200118,Aaron Gordon,Orl,35.24,4,10,0.4,1,4,0.25,2,4,0.5,0,3,3,3,1,0,3,1,11,-18
20200120,Aaron Gordon,Orl,32.58,3,9,0.333,0,2,0.0,0,0,0.0,1,5,6,7,1,0,1,2,6,14
20200122,Aaron Gordon,Orl,34.35,6,13,0.462,2,4,0.5,0,2,0.0,4,4,8,3,1,0,0,3,14,-8
20200124,Aaron Gordon,Orl,38.22,4,11,0.364,0,4,0.0,4,6,0.667,0,4,4,2,0,0,3,2,12,-6
20200126,Aaron Gordon,Orl,33.36,3,12,0.25,1,4,0.25,3,7,0.429,4,6,10,5,1,0,1,3,10,-23
20200127,Aaron Gordon,Orl,33.48,6,15,0.4,1,3,0.333,0,0,0.0,1,6,7,0,0,1,0,0,13,-28
20200201,Aaron Gordon,Orl,34.1,9,20,0.45,4,7,0.571,2,3,0.667,0,5,5,1,2,0,0,0,24,-6
20200203,Aaron Gordon,Orl,37.39,6,12,0.5,2,5,0.4,2,6,0.333,2,10,12,5,2,0,1,2,16,13
20200205,Aaron Gordon,Orl,31.07,7,15,0.467,1,3,0.333,8,10,0.8,1,9,10,4,2,1,5,3,23,-5
20200206,Aaron Gordon,Orl,34.12,7,14,0.5,2,6,0.333,0,2,0.0,0,4,4,5,1,0,1,2,16,-5
20200208,Aaron Gordon,Orl,32.1,2,12,0.167,0,6,0.0,3,4,0.75,2,7,9,5,1,0,0,4,7,-27
20200210,Aaron Gordon,Orl,36.52,10,20,0.5,2,3,0.667,4,4,1.0,6,3,9,4,0,1,2,2,26,19
