Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20201223,Mitchell Robinson,NYK,21.10,1,2,.500,0,0,0,1,2,.500,2,4,6,0,0,3,0,3,3,-17
20201223,Alec Burks,NYK,31.40,6,12,.500,2,4,.500,8,9,.889,0,4,4,3,1,1,1,3,22,+4
20201223,Obi Toppin,NYK,23.33,3,12,.250,3,7,.429,0,0,0,0,3,3,1,0,2,0,0,9,-4
20201223,Kevin Knox,NYK,18.29,2,5,.400,0,1,.000,0,1,.000,0,3,3,0,2,1,2,3,4,-6
20201223,Immanuel Quickley,NYK,12.26,1,3,.333,0,1,.000,3,3,1.000,0,1,1,1,1,0,0,0,5,+5
20201223,Nerlens Noel,NYK,9.22,1,2,.500,0,0,0,0,0,0,1,2,3,1,1,1,2,3,2,0
20201223,Frank Ntilikina,NYK,4.47,0,2,.000,0,1,.000,1,2,.500,0,0,0,0,1,0,0,1,1,-5
20201223,Theo Pinson,NYK,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
20201223,Domantas Sabonis,Ind,36.48,11,18,.611,2,4,.500,8,12,.667,4,9,13,5,1,0,4,5,32,+12
20201223,Malcolm Brogdon,Ind,34.51,8,16,.500,2,4,.500,3,3,1.000,2,5,7,8,2,0,1,2,21,0
20201223,Myles Turner,Ind,28.48,4,9,.444,0,4,.000,2,2,1.000,1,7,8,1,0,8,2,1,10,+20
20201223,Victor Oladipo,Ind,28.16,9,14,.643,2,5,.400,2,3,.667,0,4,4,4,1,0,1,3,22,+5
